Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Foot Locker,1185732,15/3/2020,Northeast,New York,New York,Women's Apparel,65.00,"1,100","715,000.00","178,750.00",25%,Outlet
Foot Locker,1185732,16/3/2020,Northeast,New York,New York,Men's Street Footwear,60.00,"1,250","750,000.00","375,000.00",50%,Outlet
Foot Locker,1185732,17/3/2020,Northeast,New York,New York,Men's Athletic Footwear,55.00,"1,025","563,750.00","169,125.00",30%,Outlet
Foot Locker,1185732,18/3/2020,Northeast,New York,New York,Women's Street Footwear,50.00,950,"475,000.00","166,250.00",35%,Outlet
Foot Locker,1185732,31/3/2020,Northeast,New York,New York,Women's Athletic Footwear,50.00,925,"462,500.00","161,875.00",35%,Outlet
Walmart,1185732,17/4/2020,Northeast,New York,New York,Men's Apparel,60.00,900,"540,000.00","162,000.00",30%,Outlet
Walmart,1185732,18/4/2020,Northeast,New York,New York,Women's Apparel,65.00,"1,075","698,750.00","174,687.50",25%,Outlet
Walmart,1185732,19/4/2020,Northeast,New York,New York,Men's Street Footwear,60.00,"1,200","720,000.00","360,000.00",50%,Outlet
Walmart,1185732,20/4/2020,Northeast,New York,New York,Men's Athletic Footwear,55.00,"1,000","550,000.00","165,000.00",30%,Outlet
Walmart,1185732,21/4/2020,Northeast,New York,New York,Women's Street Footwear,50.00,925,"462,500.00","161,875.00",35%,Outlet
Walmart,1185732,22/4/2020,Northeast,New York,New York,Women's Athletic Footwear,50.00,900,"450,000.00","157,500.00",35%,Outlet
Walmart,1185732,23/4/2020,Northeast,New York,New York,Men's Apparel,60.00,900,"540,000.00","162,000.00",30%,Outlet
Walmart,1185732,24/4/2020,Northeast,New York,New York,Women's Apparel,65.00,"1,000","650,000.00","162,500.00",25%,Outlet
Walmart,1185732,25/4/2020,Northeast,New York,New York,Men's Apparel,65.00,875,"568,750.00","170,625.00",30%,Outlet
Walmart,1185732,26/4/2020,Northeast,New York,New York,Women's Apparel,70.00,"1,000","700,000.00","175,000.00",25%,Outlet
Walmart,1185732,27/4/2020,Northeast,New York,New York,Men's Street Footwear,65.00,"1,150","747,500.00","373,750.00",50%,Outlet
Walmart,1185732,28/4/2020,Northeast,New York,New York,Men's Athletic Footwear,55.00,975,"536,250.00","160,875.00",30%,Outlet
Walmart,1185732,29/4/2020,Northeast,New York,New York,Women's Street Footwear,55.00,920,"506,000.00","177,100.00",35%,Outlet
Walmart,1185732,30/4/2020,Northeast,New York,New York,Women's Athletic Footwear,55.00,900,"495,000.00","173,250.00",35%,Outlet
Walmart,1185732,1/5/2020,Northeast,New York,New York,Men's Apparel,65.00,875,"568,750.00","170,625.00",30%,Outlet
Walmart,1185732,2/5/2020,Northeast,New York,New York,Women's Apparel,70.00,975,"682,500.00","170,625.00",25%,Outlet
Walmart,1185732,3/5/2020,Northeast,New York,New York,Men's Street Footwear,65.00,"1,200","780,000.00","390,000.00",50%,Outlet
Walmart,1185732,4/5/2020,Northeast,New York,New York,Men's Athletic Footwear,55.00,"1,000","550,000.00","165,000.00",30%,Outlet
Walmart,1185732,5/5/2020,Northeast,New York,New York,Women's Street Footwear,55.00,950,"522,500.00","182,875.00",35%,Outlet
Walmart,1185732,6/5/2020,Northeast,New York,New York,Women's Athletic Footwear,55.00,900,"495,000.00","173,250.00",35%,Outlet
Walmart,1185732,7/5/2020,Northeast,New York,New York,Men's Apparel,65.00,900,"585,000.00","175,500.00",30%,Outlet
Walmart,1185732,18/7/2020,Northeast,New York,New York,Women's Apparel,70.00,"1,000","700,000.00","175,000.00",25%,Outlet
Sports Direct,1197831,19/7/2020,Northeast,New York,New York,Men's Street Footwear,25.00,900,"225,000.00","78,750.00",35%,Outlet
Sports Direct,1197831,20/7/2020,Northeast,New York,New York,Men's Athletic Footwear,35.00,900,"315,000.00","110,250.00",35%,Outlet
Sports Direct,1197831,21/7/2020,Northeast,New York,New York,Women's Street Footwear,35.00,700,"245,000.00","85,750.00",35%,Outlet
Sports Direct,1197831,22/7/2020,Northeast,New York,New York,Women's Athletic Footwear,35.00,700,"245,000.00","110,250.00",45%,Outlet
Sports Direct,1197831,23/7/2020,South,Texas,Houston,Men's Apparel,40.00,550,"220,000.00","66,000.00",30%,Outlet
Sports Direct,1197831,24/7/2020,South,Texas,Houston,Women's Apparel,35.00,700,"245,000.00","122,500.00",50%,Outlet
Sports Direct,1197831,25/7/2020,South,Texas,Houston,Men's Street Footwear,25.00,850,"212,500.00","74,375.00",35%,Outlet
Sports Direct,1197831,26/7/2020,South,Texas,Houston,Men's Athletic Footwear,35.00,850,"297,500.00","104,125.00",35%,Outlet
Sports Direct,1197831,27/7/2020,South,Texas,Houston,Women's Street Footwear,35.00,675,"236,250.00","82,687.50",35%,Outlet
Sports Direct,1197831,28/7/2020,South,Texas,Houston,Women's Athletic Footwear,35.00,625,"218,750.00","98,437.50",45%,Outlet
Sports Direct,1197831,29/7/2020,South,Texas,Houston,Men's Apparel,40.00,500,"200,000.00","60,000.00",30%,Outlet
Sports Direct,1197831,30/7/2020,South,Texas,Houston,Women's Apparel,35.00,700,"245,000.00","122,500.00",50%,Outlet
Sports Direct,1197831,31/7/2020,South,Texas,Houston,Men's Street Footwear,30.00,875,"262,500.00","91,875.00",35%,Outlet
Sports Direct,1197831,1/8/2020,South,Texas,Houston,Men's Athletic Footwear,40.00,875,"350,000.00","122,500.00",35%,Outlet
Sports Direct,1197831,2/8/2020,South,Texas,Houston,Women's Street Footwear,35.00,700,"245,000.00","85,750.00",35%,Outlet
Sports Direct,1197831,3/8/2020,South,Texas,Houston,Women's Athletic Footwear,40.00,600,"240,000.00","108,000.00",45%,Outlet
Sports Direct,1197831,4/8/2020,South,Texas,Houston,Men's Apparel,45.00,500,"225,000.00","67,500.00",30%,Outlet
Sports Direct,1197831,5/8/2020,South,Texas,Houston,Women's Apparel,40.00,650,"260,000.00","130,000.00",50%,Outlet
Sports Direct,1197831,6/8/2020,South,Texas,Houston,Men's Street Footwear,30.00,900,"270,000.00","94,500.00",35%,Outlet
Sports Direct,1197831,7/8/2020,South,Texas,Houston,Men's Athletic Footwear,40.00,900,"360,000.00","126,000.00",35%,Outlet
Sports Direct,1197831,8/8/2020,South,Texas,Houston,Women's Street Footwear,35.00,725,"253,750.00","88,812.50",35%,Outlet
Sports Direct,1197831,9/8/2020,South,Texas,Houston,Women's Athletic Footwear,40.00,625,"250,000.00","112,500.00",45%,Outlet
Walmart,1197831,10/8/2020,South,Texas,Houston,Men's Apparel,45.00,525,"236,250.00","70,875.00",30%,Outlet
Walmart,1197831,11/8/2020,South,Texas,Houston,Women's Apparel,40.00,800,"320,000.00","160,000.00",50%,Outlet
Walmart,1197831,12/8/2020,South,Texas,Houston,Men's Street Footwear,30.00,925,"277,500.00","97,125.00",35%,Outlet
Walmart,1197831,13/8/2020,South,Texas,Houston,Men's Athletic Footwear,40.00,925,"370,000.00","129,500.00",35%,Outlet
Walmart,1197831,14/8/2020,South,Texas,Houston,Women's Street Footwear,35.00,775,"271,250.00","94,937.50",35%,Outlet
Walmart,1197831,15/8/2020,South,Texas,Houston,Women's Athletic Footwear,40.00,700,"280,000.00","126,000.00",45%,Outlet
Walmart,1197831,16/8/2020,South,Texas,Houston,Men's Apparel,45.00,600,"270,000.00","81,000.00",30%,Outlet
Walmart,1197831,17/8/2020,South,Texas,Houston,Women's Apparel,40.00,950,"380,000.00","190,000.00",50%,Outlet
Walmart,1197831,18/8/2020,South,Texas,Houston,Men's Street Footwear,40.00,950,"380,000.00","133,000.00",35%,Outlet
Walmart,1197831,19/8/2020,South,Texas,Houston,Men's Athletic Footwear,45.00,950,"427,500.00","149,625.00",35%,Outlet
Walmart,1197831,20/8/2020,South,Texas,Houston,Women's Street Footwear,40.00,800,"320,000.00","112,000.00",35%,Outlet
Walmart,1197831,21/8/2020,South,Texas,Houston,Women's Athletic Footwear,40.00,750,"300,000.00","135,000.00",45%,Outlet
Walmart,1197831,22/8/2020,South,Texas,Houston,Men's Apparel,45.00,650,"292,500.00","87,750.00",30%,Outlet
Walmart,1197831,23/8/2020,South,Texas,Houston,Women's Apparel,50.00,"1,000","500,000.00","250,000.00",50%,Outlet
Walmart,1197831,24/8/2020,South,Texas,Houston,Men's Street Footwear,40.00,950,"380,000.00","133,000.00",35%,Outlet
Walmart,1197831,25/8/2020,South,Texas,Houston,Men's Athletic Footwear,45.00,950,"427,500.00","149,625.00",35%,Outlet
Walmart,1197831,26/8/2020,South,Texas,Houston,Women's Street Footwear,40.00,"1,100","440,000.00","154,000.00",35%,Outlet
Walmart,1197831,27/8/2020,South,Texas,Houston,Women's Athletic Footwear,40.00,700,"280,000.00","126,000.00",45%,Outlet
Walmart,1197831,28/8/2020,South,Texas,Houston,Men's Apparel,45.00,700,"315,000.00","94,500.00",30%,Outlet
Walmart,1197831,29/8/2020,South,Texas,Houston,Women's Apparel,50.00,975,"487,500.00","243,750.00",50%,Outlet
Walmart,1197831,30/8/2020,South,Texas,Houston,Men's Street Footwear,40.00,925,"370,000.00","129,500.00",35%,Outlet
Walmart,1197831,31/8/2020,South,Texas,Houston,Men's Athletic Footwear,45.00,925,"416,250.00","145,687.50",35%,Outlet
Walmart,1197831,1/9/2020,South,Texas,Houston,Women's Street Footwear,40.00,"1,100","440,000.00","154,000.00",35%,Outlet
Walmart,1197831,2/9/2020,South,Texas,Houston,Women's Athletic Footwear,40.00,650,"260,000.00","117,000.00",45%,Outlet
Walmart,1197831,3/9/2020,South,Texas,Houston,Men's Apparel,45.00,650,"292,500.00","87,750.00",30%,Outlet
Walmart,1197831,4/9/2020,South,Texas,Houston,Women's Apparel,50.00,900,"450,000.00","225,000.00",50%,Outlet
Walmart,1197831,5/9/2020,South,Texas,Houston,Men's Street Footwear,45.00,850,"382,500.00","133,875.00",35%,Outlet
Walmart,1197831,6/9/2020,South,Texas,Houston,Men's Athletic Footwear,45.00,850,"382,500.00","133,875.00",35%,Outlet
Walmart,1197831,7/9/2020,South,Texas,Houston,Women's Street Footwear,50.00,900,"450,000.00","157,500.00",35%,Outlet
Walmart,1197831,8/9/2020,South,Texas,Houston,Women's Athletic Footwear,50.00,625,"312,500.00","140,625.00",45%,Outlet
Walmart,1197831,9/9/2020,South,Texas,Houston,Men's Apparel,45.00,625,"281,250.00","84,375.00",30%,Outlet
Walmart,1197831,10/9/2020,South,Texas,Houston,Women's Apparel,55.00,850,"467,500.00","233,750.00",50%,Outlet
Walmart,1197831,11/9/2020,South,Texas,Houston,Men's Street Footwear,45.00,800,"360,000.00","126,000.00",35%,Outlet
Walmart,1197831,12/9/2020,South,Texas,Houston,Men's Athletic Footwear,45.00,800,"360,000.00","126,000.00",35%,Outlet
Walmart,1197831,13/9/2020,South,Texas,Houston,Women's Street Footwear,50.00,750,"375,000.00","131,250.00",35%,Outlet
Walmart,1197831,14/9/2020,South,Texas,Houston,Women's Athletic Footwear,50.00,600,"300,000.00","135,000.00",45%,Outlet
Walmart,1197831,15/9/2020,South,Texas,Houston,Men's Apparel,45.00,575,"258,750.00","77,625.00",30%,Outlet
Walmart,1197831,16/9/2020,South,Texas,Houston,Women's Apparel,55.00,750,"412,500.00","206,250.00",50%,Outlet
Walmart,1197831,20/10/2020,South,Texas,Houston,Men's Street Footwear,45.00,900,"405,000.00","141,750.00",35%,Outlet
Walmart,1197831,21/10/2020,South,Texas,Houston,Men's Athletic Footwear,45.00,900,"405,000.00","141,750.00",35%,Outlet
Walmart,1197831,22/10/2020,South,Texas,Houston,Women's Street Footwear,50.00,825,"412,500.00","144,375.00",35%,Outlet
Walmart,1197831,23/10/2020,South,Texas,Houston,Women's Athletic Footwear,50.00,675,"337,500.00","151,875.00",45%,Outlet
Walmart,1197831,24/10/2020,South,Texas,Houston,Men's Apparel,45.00,650,"292,500.00","87,750.00",30%,Outlet
Walmart,1197831,25/10/2020,South,Texas,Houston,Women's Apparel,55.00,850,"467,500.00","233,750.00",50%,Outlet
Walmart,1197831,26/10/2020,South,Texas,Houston,Men's Street Footwear,45.00,950,"427,500.00","149,625.00",35%,Outlet
Walmart,1197831,27/10/2020,South,Texas,Houston,Men's Athletic Footwear,45.00,950,"427,500.00","149,625.00",35%,Outlet
Walmart,1197831,28/10/2020,South,Texas,Houston,Women's Street Footwear,50.00,850,"425,000.00","148,750.00",35%,Outlet
Walmart,1197831,29/10/2020,South,Texas,Houston,Women's Athletic Footwear,50.00,700,"350,000.00","157,500.00",45%,Outlet
Walmart,1197831,30/10/2020,South,Texas,Houston,Men's Apparel,45.00,650,"292,500.00","87,750.00",30%,Outlet
Walmart,1197831,31/10/2020,South,Texas,Houston,Women's Apparel,55.00,900,"495,000.00","247,500.00",50%,Outlet
West Gear,1128299,1/11/2020,South,Texas,Houston,Men's Street Footwear,40.00,775,"310,000.00","108,500.00",35%,Outlet
West Gear,1128299,2/11/2020,South,Texas,Houston,Men's Athletic Footwear,50.00,775,"387,500.00","77,500.00",20%,Outlet
West Gear,1128299,3/11/2020,South,Texas,Houston,Women's Street Footwear,50.00,775,"387,500.00","135,625.00",35%,Outlet
West Gear,1128299,4/11/2020,South,Texas,Houston,Women's Athletic Footwear,50.00,625,"312,500.00","93,750.00",30%,Outlet
West Gear,1128299,5/11/2020,West,California,San Francisco,Men's Apparel,55.00,575,"316,250.00","158,125.00",50%,Outlet
West Gear,1128299,6/11/2020,West,California,San Francisco,Women's Apparel,50.00,775,"387,500.00","58,125.00",15%,Outlet
West Gear,1128299,7/11/2020,West,California,San Francisco,Men's Street Footwear,40.00,825,"330,000.00","115,500.00",35%,Outlet
West Gear,1128299,8/11/2020,West,California,San Francisco,Men's Athletic Footwear,50.00,725,"362,500.00","72,500.00",20%,Outlet
West Gear,1128299,9/11/2020,West,California,San Francisco,Women's Street Footwear,50.00,725,"362,500.00","126,875.00",35%,Outlet
West Gear,1128299,10/11/2020,West,California,San Francisco,Women's Athletic Footwear,50.00,575,"287,500.00","86,250.00",30%,Outlet
West Gear,1128299,11/11/2020,West,California,San Francisco,Men's Apparel,55.00,500,"275,000.00","137,500.00",50%,Outlet
West Gear,1128299,12/11/2020,West,California,San Francisco,Women's Apparel,50.00,700,"350,000.00","52,500.00",15%,Outlet
West Gear,1128299,13/11/2020,West,California,San Francisco,Men's Street Footwear,50.00,850,"425,000.00","148,750.00",35%,Outlet
West Gear,1128299,14/11/2020,West,California,San Francisco,Men's Athletic Footwear,60.00,700,"420,000.00","84,000.00",20%,Outlet
West Gear,1128299,15/11/2020,West,California,San Francisco,Women's Street Footwear,60.00,700,"420,000.00","147,000.00",35%,Outlet
West Gear,1128299,22/12/2020,West,California,San Francisco,Women's Athletic Footwear,60.00,600,"360,000.00","108,000.00",30%,Outlet
West Gear,1128299,23/12/2020,West,California,San Francisco,Men's Apparel,65.00,500,"325,000.00","162,500.00",50%,Outlet
West Gear,1128299,24/12/2020,West,California,San Francisco,Women's Apparel,60.00,700,"420,000.00","63,000.00",15%,Outlet
West Gear,1128299,25/12/2020,West,California,San Francisco,Men's Street Footwear,60.00,875,"525,000.00","183,750.00",35%,Outlet
West Gear,1128299,26/12/2020,West,California,San Francisco,Men's Athletic Footwear,65.00,675,"438,750.00","87,750.00",20%,Outlet
West Gear,1128299,27/12/2020,West,California,San Francisco,Women's Street Footwear,65.00,725,"471,250.00","164,937.50",35%,Outlet
West Gear,1128299,28/12/2020,West,California,San Francisco,Women's Athletic Footwear,60.00,625,"375,000.00","112,500.00",30%,Outlet
West Gear,1128299,29/12/2020,West,California,San Francisco,Men's Apparel,65.00,525,"341,250.00","170,625.00",50%,Outlet
West Gear,1128299,30/12/2020,West,California,San Francisco,Women's Apparel,80.00,700,"560,000.00","84,000.00",15%,Outlet
West Gear,1128299,31/12/2020,West,California,San Francisco,Men's Street Footwear,60.00,900,"540,000.00","216,000.00",40%,Outlet
West Gear,1128299,1/1/2021,West,California,San Francisco,Men's Athletic Footwear,65.00,750,"487,500.00","121,875.00",25%,Outlet
West Gear,1128299,2/1/2021,West,California,San Francisco,Women's Street Footwear,65.00,750,"487,500.00","195,000.00",40%,Outlet
West Gear,1128299,3/1/2021,West,California,San Francisco,Women's Athletic Footwear,60.00,650,"390,000.00","136,500.00",35%,Outlet
West Gear,1128299,4/1/2021,West,California,San Francisco,Men's Apparel,65.00,550,"357,500.00","196,625.00",55%,Outlet
West Gear,1128299,5/1/2021,West,California,San Francisco,Women's Apparel,80.00,725,"580,000.00","116,000.00",20%,Outlet
West Gear,1128299,6/1/2021,West,California,San Francisco,Men's Street Footwear,60.00,975,"585,000.00","234,000.00",40%,Outlet
West Gear,1128299,7/1/2021,West,California,San Francisco,Men's Athletic Footwear,65.00,825,"536,250.00","134,062.50",25%,Outlet
West Gear,1128299,8/1/2021,West,California,San Francisco,Women's Street Footwear,65.00,825,"536,250.00","214,500.00",40%,Outlet
West Gear,1128299,9/1/2021,West,California,San Francisco,Women's Athletic Footwear,60.00,700,"420,000.00","147,000.00",35%,Outlet
West Gear,1128299,10/1/2021,West,California,San Francisco,Men's Apparel,65.00,575,"373,750.00","205,562.50",55%,Outlet
West Gear,1128299,11/1/2021,West,California,San Francisco,Women's Apparel,80.00,875,"700,000.00","140,000.00",20%,Outlet
West Gear,1128299,12/1/2021,West,California,San Francisco,Men's Street Footwear,60.00,"1,025","615,000.00","215,250.00",35%,Outlet
West Gear,1128299,13/1/2021,West,California,San Francisco,Men's Athletic Footwear,65.00,875,"568,750.00","113,750.00",20%,Outlet
West Gear,1128299,14/1/2021,West,California,San Francisco,Women's Street Footwear,65.00,825,"536,250.00","187,687.50",35%,Outlet
West Gear,1128299,15/1/2021,West,California,San Francisco,Women's Athletic Footwear,60.00,725,"435,000.00","130,500.00",30%,Outlet
West Gear,1128299,16/1/2021,West,California,San Francisco,Men's Apparel,65.00,775,"503,750.00","251,875.00",50%,Outlet
West Gear,1128299,17/1/2021,West,California,San Francisco,Women's Apparel,80.00,775,"620,000.00","93,000.00",15%,Outlet
West Gear,1128299,18/1/2021,West,California,San Francisco,Men's Street Footwear,65.00,975,"633,750.00","221,812.50",35%,Outlet
West Gear,1128299,19/1/2021,West,California,San Francisco,Men's Athletic Footwear,70.00,925,"647,500.00","129,500.00",20%,Outlet
West Gear,1128299,20/1/2021,West,California,San Francisco,Women's Street Footwear,65.00,800,"520,000.00","182,000.00",35%,Outlet
West Gear,1128299,21/1/2021,West,California,San Francisco,Women's Athletic Footwear,65.00,750,"487,500.00","146,250.00",30%,Outlet
West Gear,1128299,22/1/2021,West,California,San Francisco,Men's Apparel,75.00,750,"562,500.00","281,250.00",50%,Outlet
West Gear,1128299,23/1/2021,West,California,San Francisco,Women's Apparel,80.00,725,"580,000.00","87,000.00",15%,Outlet
West Gear,1128299,24/1/2021,West,California,San Francisco,Men's Street Footwear,55.00,925,"508,750.00","152,625.00",30%,Outlet
West Gear,1128299,25/1/2021,West,California,San Francisco,Men's Athletic Footwear,60.00,925,"555,000.00","83,250.00",15%,Outlet
West Gear,1128299,26/1/2021,West,California,San Francisco,Women's Street Footwear,55.00,775,"426,250.00","127,875.00",30%,Outlet
West Gear,1128299,27/1/2021,West,California,San Francisco,Women's Athletic Footwear,55.00,725,"398,750.00","99,687.50",25%,Outlet
West Gear,1128299,28/1/2021,West,California,San Francisco,Men's Apparel,65.00,725,"471,250.00","212,062.50",45%,Outlet
West Gear,1128299,29/1/2021,West,California,San Francisco,Women's Apparel,70.00,775,"542,500.00","54,250.00",10%,Outlet
West Gear,1128299,30/1/2021,West,California,San Francisco,Men's Street Footwear,55.00,875,"481,250.00","144,375.00",30%,Outlet
West Gear,1128299,31/1/2021,West,California,San Francisco,Men's Athletic Footwear,60.00,875,"525,000.00","78,750.00",15%,Outlet
West Gear,1128299,1/2/2021,West,California,San Francisco,Women's Street Footwear,55.00,700,"385,000.00","115,500.00",30%,Outlet
West Gear,1128299,2/2/2021,West,California,San Francisco,Women's Athletic Footwear,55.00,675,"371,250.00","92,812.50",25%,Outlet
West Gear,1128299,3/2/2021,West,California,San Francisco,Men's Apparel,65.00,650,"422,500.00","190,125.00",45%,Outlet
West Gear,1128299,4/2/2021,West,California,San Francisco,Women's Apparel,70.00,700,"490,000.00","49,000.00",10%,Outlet
West Gear,1128299,5/2/2021,West,California,San Francisco,Men's Street Footwear,55.00,875,"481,250.00","144,375.00",30%,Outlet
West Gear,1128299,6/2/2021,West,California,San Francisco,Men's Athletic Footwear,60.00,875,"525,000.00","78,750.00",15%,Outlet
West Gear,1128299,7/2/2021,West,California,San Francisco,Women's Street Footwear,55.00,725,"398,750.00","119,625.00",30%,Outlet
West Gear,1128299,8/2/2021,West,California,San Francisco,Women's Athletic Footwear,55.00,700,"385,000.00","96,250.00",25%,Outlet
West Gear,1128299,9/2/2021,West,California,San Francisco,Men's Apparel,65.00,650,"422,500.00","190,125.00",45%,Outlet
West Gear,1128299,10/2/2021,West,California,San Francisco,Women's Apparel,70.00,775,"542,500.00","54,250.00",10%,Outlet
West Gear,1128299,11/2/2021,West,California,San Francisco,Men's Street Footwear,55.00,975,"536,250.00","160,875.00",30%,Outlet
West Gear,1128299,12/2/2021,West,California,San Francisco,Men's Athletic Footwear,60.00,975,"585,000.00","87,750.00",15%,Outlet
West Gear,1128299,13/2/2021,West,California,San Francisco,Women's Street Footwear,55.00,775,"426,250.00","127,875.00",30%,Outlet
West Gear,1128299,14/2/2021,West,California,San Francisco,Women's Athletic Footwear,55.00,775,"426,250.00","106,562.50",25%,Outlet
West Gear,1128299,15/2/2021,West,California,San Francisco,Men's Apparel,65.00,700,"455,000.00","204,750.00",45%,Outlet
West Gear,1128299,16/2/2021,West,California,San Francisco,Women's Apparel,70.00,800,"560,000.00","56,000.00",10%,Outlet
Kohl's,1189833,17/2/2021,West,California,San Francisco,Men's Street Footwear,35.00,700,"245,000.00","98,000.00",40%,Outlet
Kohl's,1189833,18/2/2021,West,California,San Francisco,Men's Athletic Footwear,45.00,700,"315,000.00","78,750.00",25%,Outlet
Kohl's,1189833,9/3/2021,West,California,San Francisco,Women's Street Footwear,45.00,700,"315,000.00","126,000.00",40%,Outlet
